frame,left_path,right_path,confidence,area,fallback_used,reason
0000,f:\hawkeye\src\..\output_frames\left\left3_0000.jpg,f:\hawkeye\src\..\output_frames\right\right3_0000.jpg,0.702,1300.0,False,small_bbox
0001,f:\hawkeye\src\..\output_frames\left\left3_0001.jpg,f:\hawkeye\src\..\output_frames\right\right3_0001.jpg,0.700,1298.2,False,small_bbox
0002,f:\hawkeye\src\..\output_frames\left\left3_0002.jpg,f:\hawkeye\src\..\output_frames\right\right3_0002.jpg,0.688,1257.1,False,small_bbox
0003,f:\hawkeye\src\..\output_frames\left\left3_0003.jpg,f:\hawkeye\src\..\output_frames\right\right3_0003.jpg,0.688,1301.7,False,small_bbox
0004,f:\hawkeye\src\..\output_frames\left\left3_0004.jpg,f:\hawkeye\src\..\output_frames\right\right3_0004.jpg,0.451,1233.7,False,small_bbox
0005,f:\hawkeye\src\..\output_frames\left\left3_0005.jpg,f:\hawkeye\src\..\output_frames\right\right3_0005.jpg,0.341,1276.8,False,low_confidence|small_bbox
0006,f:\hawkeye\src\..\output_frames\left\left3_0006.jpg,f:\hawkeye\src\..\output_frames\right\right3_0006.jpg,0.740,1408.3,False,small_bbox
0007,f:\hawkeye\src\..\output_frames\left\left3_0007.jpg,f:\hawkeye\src\..\output_frames\right\right3_0007.jpg,0.721,1377.4,False,small_bbox
0009,f:\hawkeye\src\..\output_frames\left\left3_0009.jpg,f:\hawkeye\src\..\output_frames\right\right3_0009.jpg,0.683,1375.8,False,small_bbox
0010,f:\hawkeye\src\..\output_frames\left\left3_0010.jpg,f:\hawkeye\src\..\output_frames\right\right3_0010.jpg,0.722,1369.6,False,small_bbox
0012,f:\hawkeye\src\..\output_frames\left\left3_0012.jpg,f:\hawkeye\src\..\output_frames\right\right3_0012.jpg,0.657,1337.7,False,small_bbox
0014,f:\hawkeye\src\..\output_frames\left\left3_0014.jpg,f:\hawkeye\src\..\output_frames\right\right3_0014.jpg,0.736,1414.8,False,small_bbox
0015,f:\hawkeye\src\..\output_frames\left\left3_0015.jpg,f:\hawkeye\src\..\output_frames\right\right3_0015.jpg,0.774,1452.1,False,small_bbox
0017,f:\hawkeye\src\..\output_frames\left\left3_0017.jpg,f:\hawkeye\src\..\output_frames\right\right3_0017.jpg,0.773,1459.4,False,small_bbox
0018,f:\hawkeye\src\..\output_frames\left\left3_0018.jpg,f:\hawkeye\src\..\output_frames\right\right3_0018.jpg,0.771,1464.2,False,small_bbox
0021,f:\hawkeye\src\..\output_frames\left\left3_0021.jpg,f:\hawkeye\src\..\output_frames\right\right3_0021.jpg,0.712,1473.7,False,small_bbox
0024,f:\hawkeye\src\..\output_frames\left\left3_0024.jpg,f:\hawkeye\src\..\output_frames\right\right3_0024.jpg,0.670,1258.1,False,small_bbox
0025,f:\hawkeye\src\..\output_frames\left\left3_0025.jpg,f:\hawkeye\src\..\output_frames\right\right3_0025.jpg,0.669,1268.6,False,small_bbox
0026,f:\hawkeye\src\..\output_frames\left\left3_0026.jpg,f:\hawkeye\src\..\output_frames\right\right3_0026.jpg,0.684,1408.1,False,small_bbox
0027,f:\hawkeye\src\..\output_frames\left\left3_0027.jpg,f:\hawkeye\src\..\output_frames\right\right3_0027.jpg,0.780,1456.7,False,small_bbox
0029,f:\hawkeye\src\..\output_frames\left\left3_0029.jpg,f:\hawkeye\src\..\output_frames\right\right3_0029.jpg,0.700,1234.3,False,small_bbox
0030,f:\hawkeye\src\..\output_frames\left\left3_0030.jpg,f:\hawkeye\src\..\output_frames\right\right3_0030.jpg,0.628,1322.7,False,small_bbox
0032,f:\hawkeye\src\..\output_frames\left\left3_0032.jpg,f:\hawkeye\src\..\output_frames\right\right3_0032.jpg,0.546,987.5,False,small_bbox
0033,f:\hawkeye\src\..\output_frames\left\left3_0033.jpg,f:\hawkeye\src\..\output_frames\right\right3_0033.jpg,0.740,1323.4,False,small_bbox
0034,f:\hawkeye\src\..\output_frames\left\left3_0034.jpg,f:\hawkeye\src\..\output_frames\right\right3_0034.jpg,0.745,1424.3,False,small_bbox
0035,f:\hawkeye\src\..\output_frames\left\left3_0035.jpg,f:\hawkeye\src\..\output_frames\right\right3_0035.jpg,0.656,1211.9,False,small_bbox
0040,f:\hawkeye\src\..\output_frames\left\left3_0040.jpg,f:\hawkeye\src\..\output_frames\right\right3_0040.jpg,0.697,1263.8,False,small_bbox
0041,f:\hawkeye\src\..\output_frames\left\left3_0041.jpg,f:\hawkeye\src\..\output_frames\right\right3_0041.jpg,0.765,1348.2,False,small_bbox
0042,f:\hawkeye\src\..\output_frames\left\left3_0042.jpg,f:\hawkeye\src\..\output_frames\right\right3_0042.jpg,0.532,1269.1,False,small_bbox
0044,f:\hawkeye\src\..\output_frames\left\left3_0044.jpg,f:\hawkeye\src\..\output_frames\right\right3_0044.jpg,0.549,1407.0,False,small_bbox
0045,f:\hawkeye\src\..\output_frames\left\left3_0045.jpg,f:\hawkeye\src\..\output_frames\right\right3_0045.jpg,0.652,1439.7,False,small_bbox
0049,f:\hawkeye\src\..\output_frames\left\left3_0049.jpg,f:\hawkeye\src\..\output_frames\right\right3_0049.jpg,0.748,1484.0,False,small_bbox
0050,f:\hawkeye\src\..\output_frames\left\left3_0050.jpg,f:\hawkeye\src\..\output_frames\right\right3_0050.jpg,0.703,1481.5,False,small_bbox
0056,f:\hawkeye\src\..\output_frames\left\left3_0056.jpg,f:\hawkeye\src\..\output_frames\right\right3_0056.jpg,0.682,1358.0,False,small_bbox
0102,f:\hawkeye\src\..\output_frames\left\left3_0102.jpg,f:\hawkeye\src\..\output_frames\right\right3_0102.jpg,0.635,1285.6,False,small_bbox
0110,f:\hawkeye\src\..\output_frames\left\left3_0110.jpg,f:\hawkeye\src\..\output_frames\right\right3_0110.jpg,0.651,1490.4,False,small_bbox
0116,f:\hawkeye\src\..\output_frames\left\left3_0116.jpg,f:\hawkeye\src\..\output_frames\right\right3_0116.jpg,0.508,1199.8,False,small_bbox
0129,f:\hawkeye\src\..\output_frames\left\left3_0129.jpg,f:\hawkeye\src\..\output_frames\right\right3_0129.jpg,0.615,1491.5,False,small_bbox
0149,f:\hawkeye\src\..\output_frames\left\left3_0149.jpg,f:\hawkeye\src\..\output_frames\right\right3_0149.jpg,0.662,1371.9,False,small_bbox
0153,f:\hawkeye\src\..\output_frames\left\left3_0153.jpg,f:\hawkeye\src\..\output_frames\right\right3_0153.jpg,0.686,1334.8,False,small_bbox
0154,f:\hawkeye\src\..\output_frames\left\left3_0154.jpg,f:\hawkeye\src\..\output_frames\right\right3_0154.jpg,0.637,1024.6,False,small_bbox
0155,f:\hawkeye\src\..\output_frames\left\left3_0155.jpg,f:\hawkeye\src\..\output_frames\right\right3_0155.jpg,0.585,721.9,False,small_bbox
0156,f:\hawkeye\src\..\output_frames\left\left3_0156.jpg,f:\hawkeye\src\..\output_frames\right\right3_0156.jpg,0.616,1283.0,True,small_bbox|fallback_used
0157,f:\hawkeye\src\..\output_frames\left\left3_0157.jpg,f:\hawkeye\src\..\output_frames\right\right3_0157.jpg,0.569,1305.4,False,small_bbox
